iter	Passed	Remaining
430	1771	2338
431	1772	2330
432	1773	2322
433	1775	2315
434	1804	2343
435	1805	2336
436	1807	2328
437	1807	2319
438	1809	2311
439	1812	2306
440	1819	2306
441	1821	2299
442	1822	2291
443	1824	2284
444	1826	2278
445	1827	2270
446	1828	2262
447	1830	2255
448	1832	2248
449	1833	2241
450	1835	2233
451	1835	2225
452	1837	2218
453	1838	2211
454	1840	2204
455	1848	2204
456	1849	2197
457	1851	2191
458	1853	2185
459	1855	2178
460	1859	2174
461	1861	2167
462	1862	2160
463	1863	2152
464	1868	2149
465	1869	2141
466	1870	2135
467	1874	2130
468	1875	2123
469	1879	2119
470	1881	2112
471	1882	2106
472	1884	2099
473	1887	2094
474	1890	2089
475	1893	2083
476	1894	2077
477	1896	2070
478	1897	2063
479	1898	2057
480	1900	2050
481	1903	2045
482	1904	2038
483	1905	2031
484	1907	2025
485	1908	2018
486	1941	2045
487	1946	2041
488	1951	2038
489	1957	2037
490	1958	2030
491	1959	2023
492	1965	2021
493	2014	2063
494	2017	2058
495	2019	2051
496	2020	2045
497	2023	2039
498	2026	2034
499	2028	2028
500	2029	2021
501	2031	2015
502	2032	2008
503	2034	2001
504	2036	1996
505	2038	1990
506	2039	1983
507	2042	1977
508	2043	1971
509	2045	1965
510	2048	1959
511	2049	1953
512	2055	1951
513	2057	1945
514	2058	1938
515	2068	1940
516	2071	1935
517	2072	1928
518	2074	1922
519	2075	1916
520	2077	1909
521	2078	1903
522	2080	1897
523	2083	1893
524	2085	1886
525	2086	1880
526	2089	1875
527	2091	1869
528	2092	1863
529	2094	1857
530	2095	1851
531	2098	1845
532	2099	1839
533	2101	1833
534	2102	1827
535	2104	1821
536	2105	1815
537	2106	1809
538	2108	1803
539	2111	1799
540	2127	1804
541	2129	1799
542	2132	1794
543	2136	1790
544	2137	1784
545	2139	1779
546	2141	1773
547	2263	1866
548	2265	1861
549	2267	1854
550	2270	1850
551	2272	1844
552	2280	1843
553	2282	1837
554	2286	1833
555	2288	1827
556	2352	1871
557	2354	1865
558	2356	1858
559	2357	1852
560	2359	1846
561	2361	1840
562	2362	1833
563	2364	1827
564	2366	1821
565	2368	1816
566	2370	1810
567	2373	1805
568	2375	1799
569	2377	1793
570	2378	1787
571	2379	1780
572	2381	1774
573	2384	1769
574	2386	1764
575	2387	1757
576	2389	1751
577	2390	1745
578	2392	1739
579	2394	1734
580	2396	1728
581	2399	1723
582	2400	1717
583	2403	1711
584	2405	1706
585	2407	1700
586	2408	1694
587	2409	1688
588	2410	1682
589	2412	1676
590	2421	1675
591	2425	1671
592	2427	1665
593	2428	1659
594	2430	1654
595	2434	1650
596	2436	1644
597	2487	1672
598	2489	1666
599	2491	1661
600	2493	1655
601	2495	1649
602	2497	1644
603	2498	1638
604	2500	1632
605	2501	1626
606	2502	1620
607	2504	1614
608	2505	1608
609	2507	1603
610	2509	1597
611	2514	1593
612	2515	1588
613	2517	1582
614	2518	1576
615	2519	1570
616	2521	1565
617	2525	1561
618	2527	1555
619	2528	1549
620	2529	1543
621	2531	1538
622	2532	1532
623	2533	1526
624	2534	1520
625	2536	1515
626	2538	1510
627	2540	1504
628	2545	1501
629	2549	1497
630	2553	1493
631	2555	1487
632	2556	1482
633	2557	1476
634	2558	1470
635	2559	1464
636	2560	1459
637	2564	1454
638	2565	1449
639	2568	1444
640	2576	1443
641	2593	1446
642	2599	1443
643	2601	1437
644	2602	1432
645	2604	1427
646	2606	1422
647	2608	1417
648	2610	1412
649	2612	1406
650	2614	1401
651	2615	1395
652	2616	1390
653	2618	1385
654	2624	1382
655	2626	1377
656	2628	1372
657	2630	1366
658	2632	1362
659	2633	1356
660	2634	1351
661	2636	1346
662	2637	1340
663	2639	1335
664	2642	1331
665	2643	1325
666	2644	1320
667	2646	1315
668	2647	1310
669	2649	1305
670	2651	1299
671	2652	1294
672	2656	1290
673	2658	1285
674	2664	1283
675	2667	1278
676	2669	1273
677	2671	1268
678	2672	1263
679	2674	1258
680	2679	1255
681	2681	1250
682	2682	1245
683	2683	1239
684	2703	1243
685	2708	1239
686	2709	1234
687	2711	1229
688	2713	1224
689	2715	1219
690	2716	1214
691	2717	1209
692	2719	1204
693	2733	1205
694	2736	1201
695	2747	1199
696	2749	1195
697	2763	1195
698	2765	1190
699	2766	1185
700	2774	1183
701	2776	1178
702	2778	1173
703	2780	1169
704	2782	1164
705	2784	1159
706	2787	1155
707	2789	1150
708	2791	1145
709	2798	1142
710	2799	1138
711	2910	1177
712	2913	1172
713	2922	1170
714	2926	1166
715	2977	1180
716	2978	1175
717	2995	1176
718	2998	1171
719	2999	1166
720	3001	1161
721	3002	1156
722	3004	1151
723	3006	1146
724	3008	1140
725	3009	1135
726	3011	1130
727	3013	1126
728	3015	1120
729	3038	1123
730	3040	1118
731	3042	1113
732	3046	1109
733	3050	1105
734	3053	1100
735	3057	1096
736	3061	1092
737	3063	1087
738	3064	1082
739	3066	1077
740	3067	1072
741	3068	1067
742	3070	1062
743	3072	1057
744	3073	1052
745	3074	1046
746	3075	1041
747	3076	1036
748	3077	1031
749	3078	1026
750	3079	1021
751	3080	1015
752	3081	1010
753	3088	1007
754	3089	1002
755	3091	997
756	3092	992
757	3094	988
758	3097	983
759	3103	979
760	3104	975
761	3106	970
762	3107	965
763	3109	960
764	3111	955
765	3112	950
766	3119	947
767	3121	943
768	3123	938
769	3124	933
770	3126	928
771	3127	923
772	3132	919
773	3133	914
774	3134	909
775	3135	905
776	3136	900
777	3138	895
778	3138	890
779	3140	885
780	3142	881
781	3144	876
782	3145	871
783	3147	867
784	3148	862
785	3149	857
786	3150	852
787	3152	848
788	3153	843
789	3165	841
790	3166	836
791	3167	831
792	3169	827
793	3170	822
794	3173	818
795	3174	813
796	3176	808
797	3177	804
798	3178	799
799	3179	794
800	3181	790
801	3182	785
802	3185	781
803	3186	776
804	3190	772
805	3193	768
806	3199	765
807	3201	760
808	3203	756
809	3205	751
810	3207	747
811	3209	743
812	3210	738
813	3211	733
814	3212	729
815	3214	724
816	3215	720
817	3217	715
818	3219	711
819	3222	707
820	3379	736
821	3401	736
822	3403	731
823	3404	727
824	3406	722
825	3407	717
826	3410	713
827	3412	708
828	3414	704
829	3427	702
830	3430	697
831	3431	692
832	3432	688
833	3432	683
834	3433	678
835	3434	673
836	3436	669
837	3441	665
838	3445	661
839	3446	656
840	3449	652
841	3450	647
842	3451	642
843	3452	638
844	3453	633
845	3458	629
846	3460	625
847	3464	620
848	3465	616
849	3470	612
850	3476	608
851	3480	604
852	3482	600
853	3497	597
854	3498	593
855	3500	588
856	3504	584
857	3507	580
858	3508	575
859	3512	571
860	3516	567
861	3517	563
862	3518	558
863	3519	553
864	3520	549
865	3521	544
866	3522	540
867	3525	536
868	3526	531
869	3529	527
870	3531	523
871	3532	518
872	3534	514
873	3535	509
874	3537	505
875	3573	505
876	3574	501
877	3601	500
878	3602	495
879	3604	491
880	3605	487
881	3607	482
882	3608	478
883	3610	473
884	3613	469
885	3615	465
886	3616	460
887	3617	456
888	3619	451
889	3620	447
890	3622	443
891	3625	438
892	3632	435
893	3634	430
894	3636	426
895	3640	422
896	3641	418
897	3642	413
898	3643	409
899	3644	404
900	3645	400
901	3646	396
902	3648	391
903	3649	387
904	3651	383
905	3652	378
906	3655	374
907	3656	370
908	3657	366
909	3659	361
910	3661	357
911	3663	353
912	3665	349
913	3667	345
914	3668	340
915	3669	336
916	3670	332
917	3671	327
918	3673	323
919	3674	319
920	3684	316
921	3777	319
922	3786	315
923	3787	311
924	3788	307
925	3789	302
926	3791	298
927	3793	294
928	3800	290
929	3804	286
930	3806	282
931	3809	277
932	3810	273
933	3811	269
934	3812	265
935	3814	260
936	3816	256
937	3819	252
938	3822	248
939	3823	244
940	3825	239
941	3858	237
942	3860	233
943	3862	229
944	3867	225
945	3868	220
946	3870	216
947	3872	212
948	3874	208
949	3875	203
950	3877	199
951	3880	195
952	3990	196
953	3992	192
954	3993	188
955	3994	183
956	3998	179
957	4001	175
958	4003	171
959	4005	166
960	4006	162
961	4100	161
962	4101	157
963	4102	153
964	4103	148
965	4104	144
966	4106	140
967	4107	135
968	4111	131
969	4113	127
970	4115	122
971	4117	118
972	4118	114
973	4129	110
974	4130	105
975	4131	101
976	4133	97
977	4133	92
978	4134	88
979	4140	84
980	4141	80
981	4143	75
982	4144	71
983	4145	67
984	4147	63
985	4148	58
986	4168	54
987	4173	50
988	4177	46
989	4181	42
990	4184	38
991	4186	33
992	4188	29
993	4190	25
994	4191	21
995	4192	16
996	4193	12
997	4196	8
998	4200	4
999	4214	0
